fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220526 020440	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	23	TRUE	0.299408973118063	0.555270537877507	7764	210	0.016484006545928	12602000	85
20220526 020731	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1172	TRUE	0.0102960830385702	0.5283392390445	4846	1024	0.0245010071981487	12244000	86
20220526 020748	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	30	TRUE	0.299160790182146	0.993984091413117	5041	411	0.016203846977084	12903000	87
20220526 020809	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	109	TRUE	0.054021435152634	0.252706998442294	7993	283	0.0182041591760007	13274000	88
20220526 020818	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	21	TRUE	0.29962404355813	0.203438608599699	6066	457	0.0246912792787989	11957000	89
20220526 020842	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	104	TRUE	0.0832204460148524	0.523366764297453	3314	284	0.0124725507192696	12903000	90
20220526 020852	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	48	TRUE	0.237812250611851	0.997918501210495	6862	373	0.0182946435596174	12332000	91
20220526 020901	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.299926346646635	0.646390821308216	5412	17	0.0208223509956097	12308000	92
20220526 020924	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	150	TRUE	0.0839271175770246	0.207362041866602	3444	159	0.0179976094389271	12792000	93
20220526 021021	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	243	TRUE	0.0188166805510677	0.512514739998465	4109	63	0.0160820908924834	13641000	94
20220526 021036	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	63	TRUE	0.0940543475405521	0.801697642926564	3632	199	0.0162502901849331	13143000	95
