Feature	Gain	Cover	Frequency
ctrx_quarter	0.203374483974048	0.0181231142634939	0.0133179328328171
mtarjeta_visa_consumo	0.0457933083062115	0.0124866760059614	0.0163805323673019
mcuentas_saldo	0.042727572194204	0.0141491966917474	0.0197493918552353
mcaja_ahorro	0.0323244820714526	0.00634700943075418	0.0117953833499589
mdescubierto_preacordado	0.0219932481167561	0.00189718565891901	0.00147004777655274
foto_mes	0.0198034763256622	0.0151773154729679	0.016634290614445
cpayroll_trx	0.0197510786431854	0.00858680902108968	0.00462015015488003
ctarjeta_visa	0.0174734803212668	0.000536176186424968	0.000586269053744247
mprestamos_personales	0.0153195004659751	0.00828251573838435	0.00333385835039639
mpayroll	0.0151521369466727	0.012720202647044	0.00623020248158065
mcuenta_corriente	0.0135360035771197	0.00631194940207644	0.0101853310232583
mdescubierto_preacordado_delta1	0.0110872968567564	0.00424901205422745	0.00112878668556728
Master_status	0.0101866778343262	0.00169776194527413	0.000822526732118794
mpasivos_margen	0.00894982507605119	0.00768380402703761	0.0097215659508934
cliente_edad	0.00868337069179863	0.00982191180243785	0.0153217479568086
mactivos_margen	0.0083787112273994	0.00821458894212768	0.0133441836859698
ctrx_quarter_delta1	0.00832212195449724	0.0070253623388565	0.0121891461472498
numero_de_cliente	0.00827297496748396	0.00997024722583354	0.0163017798078438
cproductos_delta1	0.00826040751993092	0.00406715361129628	0.00155755062039516
mrentabilidad_annual_delta1	0.00822431355545236	0.00630549468491926	0.0131779282826692
mrentabilidad_annual	0.00806534907173205	0.00727932026016212	0.0115941268091213
Visa_status	0.00806183983625479	0.00108622074986895	0.000735023888276369
Master_fechaalta	0.00789452517400831	0.00966826674597241	0.0126616615039989
cliente_edad_lag1	0.00768958237083133	0.00722557680810343	0.013134176860748
mcaja_ahorro_lag1	0.00688969501780902	0.00518923013274505	0.00935405400675522
Visa_Fvencimiento_lag1	0.00641639756938597	0.00566165274212498	0.0115066239652789
Visa_Fvencimiento	0.00625565762435832	0.00753078913511317	0.011655378799811
mcuenta_corriente_lag1	0.0060494602116665	0.00742726567669528	0.0100978281794158
Visa_fechaalta_lag1	0.00601156367338393	0.00429326022411852	0.00938905514429219
Master_Fvencimiento	0.00597363358945914	0.00582204438789102	0.0103778372797116
mrentabilidad_annual_lag1	0.00592788510953264	0.00696179321518496	0.00992282249173098
mprestamos_personales_delta1	0.00586843220969091	0.00883244981395069	0.00307134981886911
chomebanking_trx	0.00579835887984192	0.00481541657305888	0.00950280884128734
mcaja_ahorro_dolares_delta1	0.00562374447072327	0.00631832769845157	0.00604644650951156
mcuentas_saldo_delta1	0.00557085719917567	0.0077685539070355	0.0099053219229625
Master_Fvencimiento_lag1	0.00548773636724434	0.00440814774438998	0.0104215887016328
Visa_fechaalta	0.00527018018996177	0.00498285051665359	0.00941530599744492
mprestamos_personales_lag1	0.00522654584726134	0.00265466852715976	0.00161880261108486
ctarjeta_visa_trx	0.00510578493699443	0.00695952552822413	0.0109028543427661
mrentabilidad	0.00494069426382695	0.00453357227871426	0.00834777130256733
ctrx_quarter_lag1	0.00493873316630456	0.00653234256398169	0.00810276333980854
mcuenta_corriente_delta1	0.0049018012700624	0.0076630578563633	0.00862778040286309
Master_fechaalta_lag1	0.00488170729547847	0.00520795399162011	0.0101503298857213
mcaja_ahorro_delta1	0.00466757948367871	0.00695578812230763	0.00789275651458673
mactivos_margen_delta1	0.00461287010173752	0.00420577500187216	0.00811151362419279
Visa_mpagominimo	0.00442549843959281	0.00644513670726482	0.00961656253828249
ccaja_ahorro	0.00441454334745639	0.00396792467857235	0.00289634413118426
mcomisiones_mantenimiento	0.0043671559714311	0.00611314426709094	0.00467265186118549
mtransferencias_recibidas	0.00427343070847521	0.00424776707068401	0.00679022068217217
Visa_mpagospesos_lag1	0.00425185865720977	0.00537060849050234	0.00798900964281339
Visa_mfinanciacion_limite	0.00419213690146551	0.00467127523880727	0.00623020248158065
mactivos_margen_lag1	0.00418488316171601	0.0066335827597171	0.00747274286414308
mrentabilidad_delta1	0.00418321869178898	0.00412459334322814	0.00749899371729581
cliente_antiguedad_lag1	0.0041547469266248	0.00432503945337964	0.00813776447734552
cliente_antiguedad	0.00405639658031569	0.00427519568630773	0.00826901874310915
Visa_msaldototal	0.00393293182914385	0.00380718676072868	0.0051276666491661
Master_mfinanciacion_limite	0.00379564311080299	0.00463402716651383	0.0071052309200049
mrentabilidad_lag1	0.00363631807140009	0.00320485733866622	0.00720148404823157
mcuentas_saldo_lag1	0.00362380600933038	0.00608900519784082	0.00753399485483278
Visa_mpagominimo_lag1	0.00361174681537066	0.00565130079526719	0.00683397210409338
Visa_mpagospesos_delta1	0.00356005848067528	0.00495673816459993	0.00773525139567036
mcomisiones_otras	0.00354821663320301	0.00343167130408842	0.00580143854675277
cproductos	0.00351999398436449	0.00678164119614176	0.00731523774522672
Visa_fultimo_cierre	0.00349191798617607	0.0043090355144868	0.00670271783832975
chomebanking_trx_delta1	0.00341525526246182	0.00637535125937766	0.00657146357256611
mtransferencias_recibidas_lag1	0.00338903273028691	0.00510242241602614	0.0067552195446352
ccomisiones_mantenimiento_delta1	0.00332957420299587	0.00472442911527446	0.00135629407955759
chomebanking_trx_lag1	0.00330708065030328	0.0037143711889355	0.00686897324163035
mcaja_ahorro_dolares_lag1	0.00330565751021661	0.00340772658608417	0.00602019565635883
Master_mfinanciacion_limite_lag1	0.00313997872887403	0.005163094148562	0.00604644650951156
mpasivos_margen_delta1	0.0030321498710797	0.00346421719645604	0.00637895731611277
ccomisiones_mantenimiento	0.0030273716816563	0.0025890811582567	0.00133004322640486
mcomisiones	0.00300746475652829	0.00274786597268003	0.0048389072644861
Visa_mpagospesos	0.0030013971270179	0.00517834523533304	0.00655396300379762
Visa_mconsumospesos_lag1	0.00296885134155757	0.00341078326391012	0.00616895049089095
Visa_cconsumos_lag1	0.00296446039694162	0.00465976102085888	0.00566143399660489
Master_fultimo_cierre_lag1	0.00294835677008568	0.00397956603430771	0.00614269963773823
Visa_mconsumospesos	0.00294217788733624	0.00326765312392198	0.00685147267286187
mpasivos_margen_lag1	0.00292678631878971	0.00500614420018439	0.00632645560980732
Visa_mfinanciacion_limite_lag1	0.00288970294225877	0.00281412025868895	0.00518016835547155
Visa_Finiciomora	0.00288880458363779	0.00597012707026661	0.00125129066694668
mcaja_ahorro_dolares	0.00288172139904929	0.00490193333836667	0.00586269053744247
Visa_mpagominimo_delta1	0.00288143925613574	0.00347180119179591	0.00513641693355034
Master_fultimo_cierre	0.00274251054146673	0.00306266289289182	0.00586269053744247
mcuenta_debitos_automaticos	0.00268927144036163	0.00735331637037501	0.00415638508251518
ccomisiones_otras	0.00263960300259196	0.0049227347529798	0.00468140214556973
Visa_fultimo_cierre_lag1	0.002624507386788	0.00320457897059672	0.00578393797798429
cprestamos_personales	0.00259721104074883	0.00317116889422504	0.00107628497926183
mcomisiones_mantenimiento_lag1	0.00245629852363793	0.00592357737650218	0.004366391907737
Visa_mconsumospesos_delta1	0.00244945309518811	0.00310946110765325	0.00546892774015156
Visa_Finiciomora_lag1	0.00244937340130544	0.00460013470313749	0.000962531282266674
thomebanking	0.00243712480850971	0.00196500235093651	0.00149629862970547
cmobile_app_trx	0.00238056604492939	0.00299523758883532	0.00481265641133337
mtransferencias_emitidas	0.00233631849616414	0.00766088769030002	0.00644020930680247
mtarjeta_visa_debitos_automaticos_lag1	0.00232389634677658	0.00425301432413951	0.00444514446719518
