fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	lambda_l1	lambda_l2	bagging_fraction	min_gain_to_split	ganancia	iteracion
20220603 001820	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	90	TRUE	0.132413924611303	0.300396237382665	6277	150	0.0486936358098454	40.3724800439603	98.8566777817646	0.676202331798979	0.0942580948242103	1077000	32
20220603 001825	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	21	TRUE	0.253815860065774	0.933758671022952	1157	52	0.039570492741391	29.8398109663847	33.732290463134	0.0606400499042744	0.0727915269006626	9680000	33
20220603 001918	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	597	TRUE	0.014932896210618	0.669516649283469	5663	211	0.0208841894958082	5.15999631283598	1.72536913952273	0.94173263495193	0.0832274554649484	12312000	34
20220603 001933	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	73	TRUE	0.0597515049602629	0.265220428816974	5925	454	0.0140826181464406	57.0937734582306	71.0740686193781	0.0944967396790162	0.004563280151051	11640000	35
20220603 001937	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	1	TRUE	0.265375566550453	0.745812517347642	4482	897	0.0472208830774805	62.1737148793828	20.9440196547399	0.952546054251596	0.029767024411005	0	36
20220603 001946	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	19	TRUE	0.26479847498487	0.423488281032181	5361	304	0.0201614319686548	46.2452172894223	26.3231934482961	0.584848257099107	0.0639980525010117	11193000	37
20220603 002007	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	207	TRUE	0.0605105230619306	0.622698571970995	3569	592	0.0141515781775739	11.2774677137764	66.9676134691101	0.671546297797235	0.0718921568084099	12983000	38
20220603 002016	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	42	TRUE	0.265136851727554	0.804169484846359	4133	384	0.0333306564319767	3.55235951187185	30.3566725492891	0.705891561150787	0.09176333213416	10462000	39
20220603 002030	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	39	TRUE	0.0854908966052993	0.477684793051157	2680	646	0.0109018925544265	49.9834602024044	80.5502091434347	0.754077576098289	0.0849047577869774	11936000	40
20220603 002044	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	153	TRUE	0.0873166566162666	0.755205316492771	3555	373	0.0158200905406453	9.23734995256738	35.0671766970194	0.228168917790401	0.0387048658576662	13037000	41
20220603 002103	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	119	TRUE	0.0978297768897115	0.427468952627768	2474	801	0.0168530307075317	17.7696455363585	66.1291703282747	0.387877037076716	0.0249851859935425	12699000	42
20220603 002116	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	137	TRUE	0.0556899453705881	0.703315105528102	2978	657	0.0166556227808467	13.489355050227	23.7373871149996	0.323135474996583	0.0986069622516256	12731000	43
20220603 002144	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	245	TRUE	0.0675310318624061	0.346062937468261	4750	108	0.0152155189600508	10.5006869298541	52.0578079883814	0.331372262351489	0.0842748999383088	12852000	44
20220603 002200	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	115	TRUE	0.104515931450486	0.611813358837287	7100	485	0.0162701215329938	7.26959479863501	56.2284505874521	0.368595110296214	0.0508653759669591	12850000	45
20220603 002210	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	92	TRUE	0.099259665859975	0.733535192376608	4779	395	0.0133837106681149	20.6954540621788	51.8513269844818	0.297586286069736	0.0719195749296936	11977000	46
20220603 002231	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	89	TRUE	0.0734605864270709	0.42885036979398	2406	315	0.0155942347335391	0.0309061198827166	21.6266767291774	0.600267860468491	0.0492854768151359	13234000	47
20220603 002401	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	458	TRUE	0.0151448179675547	0.485451113497786	1704	409	0.0168124425612164	0.158623269397104	83.3839134209811	0.329479271640316	0.0684178888989333	13109000	48
20220603 002417	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	18	TRUE	0.196646091695184	0.45083239004628	2727	591	0.0160511832710677	1.35384595553778	69.169327890376	0.599578257936376	0.0833354740648077	12878000	49
20220603 002441	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	123	TRUE	0.0669787494354769	0.480916257796296	3401	412	0.0173264214825472	6.49384174866598	45.4219017645151	0.808957824541479	0.0500080112077144	13066000	50
20220603 002530	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	300	TRUE	0.023996504155596	0.261194727671967	1561	536	0.0152634963263627	4.24331989651923	35.5570189321348	0.0619010838035602	0.0443660644440886	13552000	51
20220603 002550	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	149	TRUE	0.127095980386658	0.200722942733036	825	408	0.010993721051885	3.89656410050402	72.7707738319683	0.134124722502544	0.0342617123798511	12914000	52
20220603 002608	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	72	TRUE	0.0860980319861342	0.402083414031496	60	653	0.0148751337666924	5.45088115221145	65.7424027989134	0.0150244514381011	0.07118839855701	13134000	53
20220603 002628	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	114	TRUE	0.0682945856547989	0.242547829812467	2939	28	0.0158702926637859	0.395877398662124	34.0325053809576	0.0174257906602636	0.0086513188436266	13072000	54
20220603 002659	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	281	TRUE	0.0656520290446312	0.212353205298301	2762	527	0.0150413878500494	4.51551548606187	92.0803160835412	0.0808212346176297	0.0474549332103418	13164000	55
20220603 002812	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	515	TRUE	0.015441209415967	0.330150087269603	4225	469	0.0146470280362126	0.00905131789673531	11.1815758668634	0.209055730137812	0.0391336328963534	12919000	56
20220603 002824	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	53	TRUE	0.193199341834276	0.228900745345269	634	319	0.0154168167939763	7.37474770488996	24.3617720534884	0.11730951136808	0.0264548733519005	12596000	57
20220603 002948	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	670	TRUE	0.0119348986248869	0.717760570006808	968	587	0.0151329581470058	0.394477977721853	47.8413924575753	0.70400064986933	0.0129843796877251	12979000	58
20220603 003007	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	151	TRUE	0.0518371599891514	0.640636432875787	6957	19	0.0228416221103861	6.18667719636745	56.7589261557408	0.401601818595826	0.00401241651478228	12126000	59
20220603 003126	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	637	TRUE	0.0117590112792187	0.206017026106984	1359	391	0.0145811509722678	3.62580663786376	51.3084988848835	0.533400559663128	0.0982527750116972	13150000	60
20220603 003214	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	391	TRUE	0.0257759004462966	0.20420169172478	1937	917	0.0109642613440025	0.576804305892199	44.3010147439876	0.852102211844446	0.0281507568119323	12733000	61
20220603 003224	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	57	TRUE	0.255417790684672	0.208828441060521	133	939	0.0124051937531593	69.351949171946	84.5515687132314	0.369838399863661	0.0421202653173142	11377000	62
20220603 003354	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	618	TRUE	0.0106825722681592	0.308733250164326	1699	113	0.0145412458018137	5.10638597136301	48.1919818822648	0.390777482208309	0.0327249192234477	13265000	63
20220603 003430	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	140	TRUE	0.0418046370039708	0.522685232379532	2286	929	0.0155280902904224	0.270004289714109	46.7528215913568	0.354507770704588	0.0589395843156778	13410000	64
20220603 003450	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	17	TRUE	0.0410073655941759	0.47850834112267	1633	633	0.00838504610858218	0.0635989470486474	35.3057535881524	0.335508389135803	0.0809290697188726	12819000	65
20220603 003511	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	78	TRUE	0.0684162816932543	0.440158179157181	1899	587	0.0148518162739162	1.28534963125263	51.186307835202	0.232441504327052	0.0460830627308544	13221000	66
20220603 003542	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	101	TRUE	0.0256437872888539	0.887761417628066	857	821	0.0160117890978751	1.05007855511401	2.77711989575502	0.752606918673443	0.0674834911350516	12848000	67
20220603 003700	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	716	TRUE	0.0136259051965271	0.211059398895131	1917	896	0.01642024651165	7.0460932187211	63.7139171830597	0.21067497175907	0.0542320124507753	13123000	68
20220603 003817	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	295	TRUE	0.0102692780235998	0.561676690630788	1501	118	0.0159879394834094	4.61990878161978	15.5217350129198	0.00648351036384918	0.047808218257312	13281000	69
20220603 003909	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	240	TRUE	0.0122796786112578	0.630852959562838	880	997	0.0114365277334856	5.01417836676683	24.3192536996336	0.00574543951198088	0.0445441169577564	13206000	70
20220603 003922	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	30	TRUE	0.105310282809838	0.587981920807436	1282	1019	0.0121026246560412	4.62592456494742	34.3697574484083	0.630396215038622	0.088763907712604	12864000	71
20220603 004003	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	87	TRUE	0.0153730515033035	0.416813174549029	2018	459	0.010660196634952	8.39590848461782	49.3156629703941	0.000905749051492323	0.00583823920662886	12459000	72
20220603 004050	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	301	TRUE	0.0429456265208179	0.526843537517039	2366	18	0.0109396588322613	1.18897249374406	95.9929736573145	0.744676400918638	0.0806264844494019	13112000	73
20220603 004126	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	338	TRUE	0.0410617409980251	0.225392857995999	7269	73	0.0153431763428873	0.193383745983614	94.867678960384	0.99328241997707	0.0465138022087726	12987000	74
20220603 004157	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	323	TRUE	0.0306474334057452	0.743271226923049	6983	32	0.0153875463251114	0.100466442642162	34.9998083676039	0.818179376962697	0.0421752245019378	12783000	75
20220603 004250	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	593	TRUE	0.0211100162887875	0.960784069472842	3315	972	0.0158073691244711	3.70847132844864	82.7855554945913	0.546862849528397	0.0431929178825159	13067000	76
20220603 004304	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	67	TRUE	0.0838522944011323	0.826002013392187	1206	991	0.0188998245009091	3.79973524506778	36.276274454324	0.00266094570853892	0.0420706694273165	12322000	77
20220603 004343	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	302	TRUE	0.0320594592606776	0.202334701178177	105	30	0.0107383667240241	3.41148160175267	30.5822905003389	0.238139339631029	0.0723432981249622	12787000	78
20220603 004358	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	81	TRUE	0.163502567592357	0.584000611095028	4012	42	0.0156480713313473	5.21686959283432	99.778751157616	0.847915341975804	0.0322042483489941	12863000	79
20220603 004408	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	20	TRUE	0.175422740255085	0.741420651261177	942	935	0.00914211796321669	0.275526487437821	99.7904765639581	0.0969675094279753	0.0724883815063	12445000	80
20220603 004444	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	190	TRUE	0.0348689132897475	0.603542304076116	1449	881	0.0153879602860844	3.74252434637294	99.3754523567729	0.874886417623543	0.0633548026444926	13176000	81
20220603 004637	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	841	TRUE	0.0140281987450531	0.617984359640717	10	483	0.0092709182241462	3.84966285589665	90.8083541498441	0.747724548199484	0.0528052887842536	12413000	82
20220603 004831	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	771	TRUE	0.0103623424647696	0.368040370446927	2329	809	0.0151339140188358	3.37624386805713	33.7370240866745	0.00587656557806203	0.0790780231216708	13432000	83
20220603 004932	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	1049	TRUE	0.010135676500227	0.691822625765067	969	979	0.015933768921972	39.8030647612744	96.7131030469145	0.602234298987042	0.0477415683342947	12328000	84
20220603 005030	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	562	TRUE	0.0434022648468062	0.379250166701469	7131	942	0.0107857970249525	0.0553771699082833	97.0494182828566	0.355688889015547	0.0966626574514041	12386000	85
20220603 005109	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	414	TRUE	0.0260277372809397	0.638852035331485	6769	998	0.0160688196426005	0.227193918772814	68.4100303877646	0.993249354321653	0.0763177653253513	12778000	86
20220603 005206	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	397	TRUE	0.0168403262421044	0.369596169717467	2481	113	0.0259290157641675	12.6819979091947	18.5816773195169	0.752299254133044	0.0204266419887257	11856000	87
20220603 005215	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	30	TRUE	0.226098056820855	0.266571966654723	3376	60	0.0142999486810641	74.8418905381277	96.3817234171598	0.949637253504739	0.0863511637838815	11253000	88
20220603 005228	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	126	TRUE	0.0475033048499731	0.934035597466139	2524	64	0.0235833488328566	47.4532419467199	39.6352336270133	0.0615982599830915	0.0911547471164705	11517000	89
20220603 005245	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	134	TRUE	0.162936394594317	0.200627122797742	4330	83	0.00972788812476688	0.0353201737778251	84.5579314476314	0.57829210892832	0.0833127881811694	12234000	90
20220603 005302	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	136	TRUE	0.0656263894585997	0.847063460765653	2199	141	0.0155369187452684	3.78045384153773	93.0824611047585	0.461508638613973	0.0942053511432384	13138000	91
20220603 005323	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	124	TRUE	0.0633877218105404	0.248563277465168	1527	86	0.015904003497995	3.51476007047743	86.9703594361946	0.669983987417771	0.0491971052698618	13426000	92
20220603 005450	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	727	TRUE	0.0115748875013294	0.272449228343384	2963	166	0.0157781127124277	4.56920660238679	96.9770731190698	0.62907795939704	0.047675646163874	13262000	93
20220603 005534	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	229	TRUE	0.0641614260779744	0.262877982090162	7973	908	0.0158026883024958	4.27037073509274	89.3724755988977	0.76705952854803	0.0125864374064199	12979000	94
20220603 005555	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	161	TRUE	0.0641518645008742	0.202883791211118	7989	143	0.0164726248919612	7.49281099792354	29.691531848427	0.715848644140167	0.0248856975294744	12870000	95
20220603 005610	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	117	TRUE	0.137867983435841	0.204257974326791	8000	662	0.0232890105461296	9.37451650644774	98.8084024254344	0.998061310234496	0.0278935028127838	12318000	96
20220603 005636	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	88	TRUE	0.0289452466136876	0.235724875490011	1892	951	0.0152320636462534	1.03894615773422	18.1858974337073	0.00871511124182203	0.0433651234346528	13127000	97
20220603 005646	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	71	TRUE	0.227727969463683	0.773595264020038	7941	903	0.0116387015042335	0.185185668610734	93.4144412488451	0.987390551912822	0.0167107139163129	12718000	98
20220603 005800	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	791	TRUE	0.0199762398593151	0.22807479739635	1454	712	0.0127628957584527	7.15568382953116	36.3874871156324	0.00396408305063002	0.063567281378929	13266000	99
20220603 005837	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	471	TRUE	0.0377385075757956	0.832752146334303	7282	962	0.0107648745455161	3.17056670876913	30.1994747144971	0.510717601286913	0.0305737909318626	12340000	100
20220603 005848	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	61	TRUE	0.285864040727457	0.254000311082825	7845	967	0.0153291268579676	9.30325767432098	97.5575415979841	0.981638252715148	0.0422441190419847	13183000	101
20220603 005858	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	63	TRUE	0.299247507155751	0.662996617581684	7361	980	0.0158267643476889	5.05345448073542	99.0868030154471	0.706462945328804	0.033981785999917	12809000	102
20220603 005913	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	101	TRUE	0.205640301088951	0.215774490609145	7972	812	0.0154715376136818	3.59642814966626	90.0511722698152	0.850891476909999	0.0599833070525089	12995000	103
20220603 005927	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	95	TRUE	0.193028530635143	0.257750980364592	7985	584	0.0157325152853914	37.5383141895956	95.1787007387682	0.995523592697608	0.015245237696968	11891000	104
20220603 005937	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	34	TRUE	0.270640235333175	0.253799830219868	6619	877	0.0156384712521088	2.29263880013239	42.2350842361935	0.981666007059802	0.0133030583282058	12727000	105
20220603 005948	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	59	TRUE	0.297969501592463	0.258736760558526	7691	496	0.0247314702281019	16.2703763772686	71.6174073825052	0.0248941654160639	0.0198656377938963	12122000	106
20220603 005959	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	68	TRUE	0.0458755245690498	0.889098771306054	239	18	0.0105825052103181	66.1974424486625	97.9620705034888	0.000193833921263744	0.0962547280625993	12598000	107
20220603 010009	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	47	TRUE	0.0546029494658947	0.87254174801715	573	789	0.00834242095767768	79.7479411447386	76.1127597239496	0.0208723675165424	0.0966365819004316	11161000	108
20220603 010023	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	73	TRUE	0.294940383976254	0.270022055063971	5021	1015	0.0117221284628554	3.87097419799757	99.6273651877074	0.897169111757228	0.0265052123373443	12461000	109
20220603 010059	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	295	TRUE	0.0436106906744846	0.271715571467946	1140	186	0.0153908593169887	5.44659748678932	75.5995363259569	0.0372275964703354	0.0773634542287603	13178000	110
20220603 010107	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	25	TRUE	0.138191200577972	0.640731624052404	1140	24	0.0109238391652033	52.544476862744	97.0038791169483	0.0520455856908111	0.0243885149339597	12087000	111
20220603 010213	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	439	TRUE	0.0163045391571938	0.336857997543332	1698	133	0.0155454136288833	0.931547608394417	65.3737841791864	0.750340304089902	0.0631313220716179	13335000	112
20220603 010331	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	426	TRUE	0.0109676611419012	0.331002617308268	1141	476	0.0157454760949331	4.94976557868875	33.8420060659962	0.00261682925180985	0.0421969492969794	13371000	113
20220603 010408	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	229	TRUE	0.0265389341484124	0.614396270697715	2795	148	0.0157904921149402	0.802018020636763	33.0099305813186	0.350789182181821	0.0766621903787316	13152000	114
20220603 010425	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	104	TRUE	0.0891259261942641	0.211394391110631	2076	720	0.0154510927725979	4.40340979815492	75.9546629219677	0.616468028077962	0.0646919489017285	13196000	115
20220603 010509	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	148	TRUE	0.0117427395892287	0.270973697504318	106	111	0.0113703224175846	72.663792700408	15.046287831881	0.15744569246381	0.0352925886653208	11766000	116
20220603 010558	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	31	223	TRUE	0.0257313681674576	0.459179150105574	2417	947	0.0155566150325224	7.63571278068164	30.3064511730677	0.977493357311481	0.0130300224595161	13309000	117
