max_depth	min_bucket	min_split	peso_error	ganancia_promedio
6	525	1550	60	11056667
6	525	1550	120	10776667
6	525	1500	5	10289333
6	525	1500	10	9863333
6	525	1500	59	11056667
6	525	1500	60	11056667
6	525	1500	120	10751333
6	525	1450	5	10289333
6	525	1450	10	9863333
6	525	1450	59	11056667
6	525	1450	60	11056667
6	525	1450	120	10751333
6	525	1400	5	10289333
6	525	1400	10	9851333
6	525	1400	59	10854000
6	525	1400	60	10854000
6	525	1400	120	10751333
6	525	1350	5	10289333
6	525	1350	10	10021333
6	525	1350	59	10940667
6	525	1350	60	10940667
6	525	1350	120	10636000
6	525	1300	5	10289333
6	525	1300	10	10021333
6	525	1300	59	10940667
6	525	1300	60	10940667
6	525	1300	120	10636000
6	525	1250	5	10292000
6	525	1250	10	10027333
6	525	1250	59	10950667
6	525	1250	60	10950667
6	525	1250	120	10667333
6	500	1550	5	10470000
6	500	1550	10	9648667
6	500	1550	59	11020000
6	500	1550	60	11020000
6	500	1550	120	10872000
6	500	1500	5	10470000
6	500	1500	10	9648667
6	500	1500	59	11020000
6	500	1500	60	11020000
6	500	1500	120	10896000
6	500	1450	5	10470000
6	500	1450	10	9648667
6	500	1450	59	11020000
6	500	1450	60	11020000
6	500	1450	120	10896000
6	500	1400	5	10470000
6	500	1400	10	9636667
6	500	1400	59	10817333
6	500	1400	60	10817333
6	500	1400	120	10896000
6	500	1350	5	10470000
6	500	1350	10	9814000
6	500	1350	59	10904000
6	500	1350	60	10904000
6	500	1350	120	10896000
6	500	1300	5	10470000
6	500	1300	10	9814000
6	500	1300	59	10904000
6	500	1300	60	10904000
6	500	1300	120	10896000
6	500	1250	5	10574667
6	500	1250	10	9854667
6	500	1250	59	10914000
6	500	1250	60	10914000
6	500	1250	120	10908000
6	475	1550	5	10515333
6	475	1550	10	9653333
6	475	1550	59	10978000
6	475	1550	60	10978000
6	475	1550	120	11232000
6	475	1500	5	10515333
6	475	1500	10	9653333
6	475	1500	59	10978000
6	475	1500	60	10978000
