fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220523 114214	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	448	TRUE	0.0100446182907198	0.976817801844927	2146	528	0.0137015410863389	13128000	100
20220523 114246	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	21	TRUE	0.178117796601197	0.990621841699715	8000	914	0.0125081031294	12617000	101
20220523 114348	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	76	TRUE	0.0593484945861583	0.418234357121406	7714	1024	0.0175308285422016	12648000	102
20220523 114528	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	206	TRUE	0.052852545207533	0.326027219857225	7999	16	0.0150100312353047	12789000	103
20220523 114656	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	135	TRUE	0.0425460039703544	0.38875935659624	7401	386	0.0188890788892016	13099000	104
20220523 114723	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	25	TRUE	0.254953021145917	0.777896183873941	7996	399	0.0154153211406238	12856000	105
20220523 114805	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	36	TRUE	0.225238995695331	0.458542853612042	8000	515	0.020143840101054	12323000	106
20220523 115200	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	487	TRUE	0.0106382431258069	0.943141418441314	2567	16	0.0146993983268557	13394000	107
20220523 115259	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	91	TRUE	0.0504640732630008	0.784487304435208	2695	16	0.0150645515298405	13367000	108
20220523 115353	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	29	TRUE	0.142766348438369	0.595346797726608	7999	621	0.01609871790265	12726000	109
20220523 115501	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	64	TRUE	0.158681633974914	0.221518220674057	7985	1024	0.0255469667345127	11350000	110
20220523 115539	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	16	TRUE	0.281347593559285	0.999586069179328	7999	892	0.0180584030489801	13003000	111
20220523 115659	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	29	TRUE	0.138439228138849	0.998244016647338	4716	17	0.0133828092127718	12789000	112
20220523 115849	binary	custom	TRUE	TRUE	FALSE	-100	280108	-1	0	0	0	31	51	TRUE	0.160618364777158	0.273581957629327	4875	16	0.0106611496375094	11871000	113
