Feature	Gain	Cover	Frequency
ctrx_quarter	0.148248745214312	0.0375447892708096	0.0246353322528363
mpasivos_margen	0.121263392871661	0.0293873686114578	0.019935170178282
cpayroll_trx	0.109717576538018	0.0455607622070668	0.013290113452188
mtarjeta_visa_consumo	0.0719924388430393	0.0211526439601028	0.0149108589951378
mpayroll	0.0697636653823186	0.0555730119367013	0.0147487844408428
mcaja_ahorro	0.0645914127328164	0.0268717173447798	0.0226904376012966
mprestamos_personales	0.0273009671626963	0.028367507278296	0.0113452188006483
ctarjeta_visa_trx2	0.0263342174157746	0.013974460997894	0.0160453808752026
Visa_msaldopesos	0.0241051105611848	0.0159511391660558	0.0188006482982172
Visa_msaldototal	0.02384863756086	0.0122189031300719	0.0137763371150729
ctarjeta_visa_trx	0.0225207364506103	0.00969435331110376	0.00907617504051864
mcuentas_saldo	0.0209117148454803	0.0322780458747764	0.0322528363047002
ccomisiones_otras	0.0167159779613512	0.0212561725091493	0.0192868719611021
mactivos_margen	0.0157611974732175	0.0286559468715251	0.026904376012966
mautoservicio	0.0136715175109276	0.00642502956173225	0.00615883306320908
Visa_mpagominimo	0.0135933898069927	0.0121461836373124	0.0160453808752026
mrentabilidad_annual	0.0133232067870486	0.0270176448782677	0.0353322528363047
Visa_mconsumototal	0.00975967991668784	0.00653392341436544	0.0102106969205835
cprestamos_personales	0.00857895388222522	0.0050935138827492	0.00486223662884927
mcaja_ahorro_dolares	0.00756813330371225	0.022633048994635	0.0158833063209076
Master_fechaalta	0.00756398645319694	0.017690544416657	0.03322528363047
mcuenta_corriente	0.00731972632927389	0.0167398736895868	0.0299837925445705
cliente_antiguedad	0.00705919932458238	0.0156805839181158	0.0299837925445705
cproductos	0.00631347305028669	0.0124885249024285	0.0118314424635332
chomebanking_trx	0.00595624942848397	0.0208413254910101	0.0160453808752026
cliente_edad	0.0056776328359843	0.0248948036267044	0.0298217179902755
Master_Fvencimiento	0.00566140465068187	0.0159098525006507	0.0296596434359806
mcomisiones_otras	0.00564666576490212	0.0117193628319004	0.020259319286872
mrentabilidad	0.00560556550325771	0.00860994693959027	0.0183144246353323
mtransferencias_recibidas	0.00546314949682626	0.00800877993982258	0.0115072933549433
Visa_mconsumospesos	0.00489137998423986	0.00823315868063329	0.0119935170178282
Visa_fechaalta	0.00476237938937197	0.0149393868567702	0.0262560777957861
numero_de_cliente	0.00469218159974713	0.0204959482492303	0.0309562398703404
Visa_mfinanciacion_limite	0.004668336415812	0.0174549334345977	0.0277147487844408
Visa_cconsumos	0.00444717132162088	0.00425158869910729	0.00777957860615883
mcomisiones	0.00442885570335668	0.00913799313933832	0.0171799027552674
Master_mfinanciacion_limite	0.00436500043384634	0.018378254199482	0.0304700162074554
ctarjeta_debito_trx	0.00423783544142076	0.00301218176039833	0.00291734197730956
Visa_Fvencimiento	0.00413291827818313	0.0115890906435936	0.0233387358184765
Visa_mpagospesos	0.00397703042336747	0.0174308768091662	0.0178282009724473
Visa_cadelantosefectivo	0.00390951172817929	0.000695256104129882	0.000324149108589951
mcomisiones_mantenimiento	0.00374561065787496	0.016274858901894	0.0141004862236629
Master_mlimitecompra	0.0036753126970257	0.0184615385420683	0.0235008103727715
thomebanking	0.0031937923995411	0.00726346075498964	0.00518638573743922
ccaja_ahorro	0.00312038961104439	0.0222074321110035	0.00907617504051864
Master_mpagospesos	0.00308792910425662	0.0175823441276582	0.0116693679092382
matm	0.00288659655010615	0.00178815099660252	0.00210696920583468
Visa_mlimitecompra	0.00281703449987128	0.0150980558957677	0.020097244732577
mcuenta_debitos_automaticos	0.0023763548250138	0.00751021673758886	0.00713128038897893
mextraccion_autoservicio	0.00235320938794704	0.00231248946622968	0.00291734197730956
Master_msaldopesos	0.00235038068067769	0.00358448517168365	0.00632090761750405
ctarjeta_visa_debitos_automaticos	0.00219141049924434	0.00372591980867205	0.00502431118314425
ccaja_seguridad	0.00205178118618821	0.0062953942305992	0.00356564019448947
mtarjeta_visa_debitos_automaticos	0.00195395775613558	0.002863580299188	0.00567260940032415
mpagomiscuentas	0.00188823676061757	0.00647331729401271	0.00583468395461912
Master_msaldototal	0.00173313308965505	0.0039461284436056	0.00567260940032415
mtransferencias_emitidas	0.0015360665285834	0.00411052047309555	0.00405186385737439
Master_mpagominimo	0.00133869698022172	0.00365606617319425	0.00502431118314425
ccuenta_debitos_automaticos	0.00131072291459043	0.00391980792178263	0.00453808752025932
Visa_delinquency	0.00107297065737533	0.00668830893456438	0.00275526742301459
ctransferencias_recibidas	0.00104354831700389	0.00531630484266108	0.00486223662884927
ctarjeta_debito	0.00101265784288288	0.00470721202450553	0.0047001620745543
ccallcenter_trx	0.000995208976416563	0.0173204213478468	0.00826580226904376
ccomisiones_mantenimiento	0.000916086882519978	0.00401030707098071	0.00307941653160454
Visa_mpagado	0.000872979295330914	0.00641795434025449	0.00632090761750405
mtarjeta_master_consumo	0.000842591960038193	0.00220906996806912	0.00275526742301459
Visa_msaldodolares	0.000747642826651771	0.00561875529371168	0.00421393841166937
Visa_mconsumosdolares	0.000694740578279975	0.00521281991396897	0.00453808752025932
Visa_mpagosdolares	0.000530668568149368	0.00689683167656394	0.00372771474878444
tcallcenter	0.000500170192499533	0.00411585960446964	0.00210696920583468
cpagomiscuentas	0.00046436646678719	0.0017707988196367	0.00243111831442464
Master_fultimo_cierre	0.000458958703099164	0.00314338306225304	0.00275526742301459
tpaquete7	0.000455828975988162	0.0030869863060964	0.00113452188006483
mplazo_fijo_dolares	0.000443055164896863	0.00238772585343594	0.00145867098865478
Master_cconsumos	0.000413118507531941	0.00218840264417166	0.00291734197730956
Master_mconsumosdolares	0.000404410263986232	0.000255279399841852	0.000648298217179903
ctarjeta_master	0.000404000677164829	0.00225146459047506	0.00129659643435981
catm_trx	0.000399088944797045	0.00249597848685998	0.00243111831442464
cseguro_accidentes_personales	0.000391543722074879	0.00274204526786025	0.00178282009724473
cextraccion_autoservicio	0.000318299246330156	0.000608150618501292	0.00113452188006483
cplazo_fijo	0.000312045108552577	0.0013828263018209	0.000972447325769854
Master_status	0.00022841227198831	0.0013452953489265	0.000972447325769854
Master_mconsumototal	0.000221640321207295	0.00101367596691298	0.00162074554294976
Master_mconsumospesos	0.000221388023467724	0.000941436298051495	0.00145867098865478
catm_trx_other	0.000214352460143601	0.000126006117650011	0.000162074554294976
mtarjeta_visa_descuentos	0.000213807705125037	0.0044965082647878	0.00210696920583468
mdescubierto_preacordado	0.000183576988811653	0.00233156464719286	0.00113452188006483
tpaquete9	0.000175447936816604	0.00482457258792068	0.00243111831442464
mcaja_ahorro_adicional	0.000169575828334291	0.00190624001993555	0.00113452188006483
mttarjeta_master_debitos_automaticos	8.13453757730219e-05	0.00084824577298919	0.000972447325769854
Master_delinquency	7.46856877514325e-05	0.00066767931610124	0.000324149108589951
matm_other	7.28491401740937e-05	3.33957433007402e-05	0.000162074554294976
Master_mpagado	6.03713775875925e-05	0.002545941240748	0.00178282009724473
ctransferencias_emitidas	5.81052107477224e-05	0.000539457284449561	0.00129659643435981
Visa_Finiciomora	5.62410471419679e-05	0.00179436689709933	0.000972447325769854
cseguro_vivienda	5.52712184001053e-05	0.000304356660536291	0.000324149108589951
