experimento	fecha	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT9310_6L	20220621 034052	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.164908259851509	0.21326072841548	295	1898	0.408252417020703	0.587947105020867	0.195481744062272	0.848332875614869	34	0.123594774483253	9194	13606000	1
HT9310_6L	20220621 034159	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.123069881641131	0.481226359547873	683	1387	0.480545662546647	0.204331618779397	0.129122749316302	0.388817317341454	113	0.0815526244612386	10968	12792000	2
HT9310_6L	20220621 034312	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.174822391437192	0.732236611533153	821	4786	0.543059771598055	0.684947743786033	0.142778119527575	0.58961539318334	57	0.104256602044575	9950	14050000	3
HT9310_6L	20220621 034353	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.254194167113455	0.443884027228341	490	5894	0.636552335043671	0.228000704872247	0.184218847397424	0.411571059888229	66	0.10266618872645	11882	13798000	4
HT9310_6L	20220621 034632	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0899357192908064	0.640016377052234	863	6327	0.653694699080224	0.362535984656861	0.173187658737006	0.354323740475229	438	0.099268385353772	9560	12880000	5
HT9310_6L	20220621 034837	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0733516677087755	0.902366181019897	375	3797	0.193149457937252	0.947042151944624	0.355688430543451	0.663065663016459	228	0.0905129933643295	10814	13906000	6
HT9310_6L	20220621 035032	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0406741708324989	0.545874371879472	313	4378	0.35941502707341	0.55802535960931	0.0637844742905872	0.512425752475247	395	0.106444645957349	9272	13528000	7
HT9310_6L	20220621 035147	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.070635271416686	0.517351141884137	362	2448	0.966499109727156	0.459389143479493	0.230051532315774	0.617182864299684	159	0.101894867375983	9670	13850000	8
HT9310_6L	20220621 035239	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.131887178650068	0.392092302419769	559	902	0.302020156569779	0.417563820690411	0.295318044872547	0.536184275474807	120	0.0831022503393179	9258	13182000	9
HT9310_6L	20220621 035326	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.138136389003193	0.351035133095138	477	2935	0.833011084384489	0.845009178939654	0.40815060082321	0.235963704669121	110	0.104567617801908	9306	14214000	10
HT9310_6L	20220621 035412	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.151918461480527	0.264928528887685	934	5056	0.580549009493552	0.140326203893783	0.381340551724934	0.814652802396449	252	0.0817334046312234	9858	12462000	11
HT9310_6L	20220621 035526	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.256847221080388	0.949427286539867	243	5721	0.52508500279946	0.753396199393464	0.24823950343125	0.73572163406061	81	0.121199154202201	8290	13190000	12
HT9310_6L	20220621 035603	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.222211994901008	0.425010736600962	433	4024	0.736704046706436	0.406475696355919	0.151537476825906	0.881852546821028	31	0.0727437385613081	14210	12910000	13
HT9310_6L	20220621 035630	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.146892543449649	0.134636867694644	639	7291	0.455967805893742	0.786780750853213	0.482980626661083	0.641774164452363	247	0.083699073017445	9978	12822000	14
HT9310_6L	20220621 035715	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.179189565872657	0.315821294011403	652	7166	0.258743484513543	0.604298360336688	0.111387017414963	0.573583094343485	202	0.0759838326358465	11582	13018000	15
HT9310_6L	20220621 035810	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.278939346024126	0.695212490682752	527	399	0.227157844156463	0.727295940593613	0.43706745774216	0.153734200582403	48	0.0522097065856158	10424	12736000	16
HT9310_6L	20220621 035921	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.295406353072321	0.679314272446209	794	3214	0.155576103043568	0.884779473911476	0.0410295090109867	0.245493949529919	42	0.0956372275812586	10034	12046000	17
HT9310_6L	20220621 040043	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.270584738719626	0.848821110545396	165	6976	0.607106747991202	0.0803503497503698	0.37488387312078	0.29950420544119	133	0.102553223013977	8790	13530000	18
HT9310_6L	20220621 040117	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.289465832245187	0.354381453499809	916	6041	0.215641271084023	0.323997572833905	0.45121314410826	0.456735142789694	61	0.103529041999571	11356	13604000	19
HT9310_6L	20220621 040238	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.105012759787496	0.555382584311883	210	7738	0.695653313308867	0.518257815432298	0.320844627565166	0.790226811277535	250	0.0849116063804807	11074	14366000	20
HT9310_6L	20220621 040520	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0479921864223434	0.927420966137288	878	4197	0.880428802401148	0.0230827037028212	0.284443984450772	0.992457980696054	359	0.108307104166489	9208	13832000	21
HT9310_6L	20220621 040840	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0319436472828966	0.806673394574318	737	3455	0.322651420700859	0.648611208201328	0.306652651701006	0.117988760415028	443	0.0816501318243229	11626	14174000	22
