fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220602 011048	0	0	0	1	hist	lossguide	256	0	1	0.0101222820707419	0.410324030912785	10	1023	0.0159952642964931	502	13108000	108
20220602 011659	0	0	0	1	hist	lossguide	256	0	1	0.0133973045751996	0.624797439380886	8	2	0.015937461542805	2829	13243000	109
20220602 011752	0	0	0	1	hist	lossguide	256	0	1	0.0504448858055526	0.999949479387933	10	1023	0.0145604974677098	29	13222000	110
20220602 012159	0	0	0	1	hist	lossguide	256	0	1	0.0102527895405138	0.267847079400062	6	1023	0.0244008068644225	324	11087000	111
20220602 012514	0	0	0	1	hist	lossguide	256	0	1	0.0102755739021142	0.375136628023629	6	1024	0.0138791154760957	106	12924000	112
20220602 012827	0	0	0	1	hist	lossguide	256	0	1	0.0117513070985208	0.20007478993876	7	637	0.0131201679436592	232	12880000	113
20220602 012903	0	0	0	1	hist	lossguide	256	0	1	0.2712049390125	0.859280447551917	8	2	0.0162032898220333	217	13305000	114
20220602 012921	0	0	0	1	hist	lossguide	256	0	1	0.283505632911422	0.998001353891087	10	2	0.0499719450394075	48	8364000	115
20220602 013056	0	0	0	1	hist	lossguide	256	0	1	0.0211232669587548	0.854936665835026	10	1023	0.0146238869168589	66	13156000	116
20220602 013154	0	0	0	1	hist	lossguide	256	0	1	0.137294991950169	0.885134479688287	8	2	0.0156185368072094	389	13261000	117
20220602 013230	0	0	0	1	hist	lossguide	256	0	1	0.299650619413053	0.923378430749233	7	2	0.0167351320197452	206	13083000	118
20220602 013412	0	0	0	1	hist	lossguide	256	0	1	0.0228222496979814	0.563138452175236	7	6	0.0143852737784047	362	13751000	119
20220602 013825	0	0	0	1	hist	lossguide	256	0	1	0.0103469487602265	0.586037142438837	6	2	0.012613645107328	1778	12556000	120
20220602 014020	0	0	0	1	hist	lossguide	256	0	1	0.0234375299730106	0.542843412202934	7	623	0.0147695478040729	144	13149000	121
20220602 014105	0	0	0	1	hist	lossguide	256	0	1	0.168497075105522	0.934668625226406	7	2	0.0166288604146195	277	13092000	122
20220602 014229	0	0	0	1	hist	lossguide	256	0	1	0.0388426421244039	0.390006442953346	7	2	0.0153037829178834	465	13035000	123
20220602 014341	0	0	0	1	hist	lossguide	256	0	1	0.0408855008821204	0.353845419391867	10	869	0.0140445296716666	64	12788000	124
20220602 014549	0	0	0	1	hist	lossguide	256	0	1	0.0218577332262212	0.948658763293393	6	766	0.0140845356655039	76	12688000	125
20220602 014921	0	0	0	1	hist	lossguide	256	0	1	0.0103404070985266	0.999800562193606	10	912	0.00834335373634867	257	11499000	126
20220602 015100	0	0	0	1	hist	lossguide	256	0	1	0.021020764283629	0.57769067658113	10	8	0.015673296616708	313	13724000	127
20220602 015130	0	0	0	1	hist	lossguide	256	0	1	0.155842340027183	0.998434035989099	10	1024	0.0166412231967854	17	11851000	128
20220602 015242	0	0	0	1	hist	lossguide	256	0	1	0.0269983302636868	0.542042515569227	10	2	0.0143894133519043	388	12502000	129
20220602 020051	0	0	0	1	hist	lossguide	256	0	1	0.0100264374647691	0.603726202922023	10	2	0.0171579361487803	3996	13080000	130
20220602 020419	0	0	0	1	hist	lossguide	256	0	1	0.0105227904402956	0.660094920241521	7	1023	0.0136065600202035	189	13365000	131
20220602 020729	0	0	0	1	hist	lossguide	256	0	1	0.0103457372041792	0.999865912236692	10	560	0.0156341279162506	190	13558000	132
