experimento	fecha	pos_bagging_fraction	neg_bagging_fraction	max_depth	max_bin	seed	extra_trees	drop_rate	max_drop	skip_drop	metric	first_metric_only	objective	boost_from_average	force_row_wise	feature_pre_filter	boosting	num_threads	verbosity	verbose	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	lambda_l1	lambda_l2	min_gain_to_split	bagging_fraction	num_iterations	prob_corte	estimulos	ganancia	iteracion_bayesiana
HT9310_3L	20220619 142642	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0883306760684648	0.982841201392326	84	4358	0.343951804316553	0.872667596657246	0.188588563277587	0.650382736542183	158	0.0940762675252	10538	14542000	67
HT9310_3L	20220619 142728	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0703032410459173	0.886799500910098	402	4406	0.661213298837658	0.82028269243775	0.251624683130028	0.636116673997797	252	0.0849260704348296	11218	14702000	68
HT9310_3L	20220619 142805	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0864328695230477	0.914231246065599	235	4336	0.665776017853055	0.974076103687128	0.1834718834662	0.665867800537478	149	0.0980834527251965	10726	14954000	69
HT9310_3L	20220619 142906	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0903043541361025	0.870091038428722	121	4333	0.828723668093522	0.413004352128143	0.0841307452444548	0.772030713211607	440	0.0971587131796875	9320	14200000	70
HT9310_3L	20220619 142945	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0943588093176012	0.80858488560546	305	4317	0.540730709567655	0.934616351383518	0.04645106592838	0.439510390917666	190	0.0878775131910298	11424	14616000	71
HT9310_3L	20220619 143026	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0862544588889704	0.903343892036227	61	4774	0.479890695386806	0.953287615932781	0.237903655300802	0.606184207557674	122	0.108951847588994	10416	14424000	72
HT9310_3L	20220619 143114	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0815050509986242	0.785789372567734	98	3700	0.690357547915191	0.968732718032909	0.0529122167913153	0.708888433401735	262	0.0930407269727604	10852	14708000	73
HT9310_3L	20220619 143206	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0660969274862425	0.756832318139197	725	4260	0.848898900757687	0.941076377432254	0.128802308968973	0.839664330229885	316	0.0845218030641692	11574	15426000	74
HT9310_3L	20220619 143310	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0313387396324733	0.5660417801453	654	4143	0.696544882245926	0.812002735734677	0.131958764216278	0.386190488036242	548	0.0980704774404848	10848	14712000	75
HT9310_3L	20220619 143338	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.084303887299795	0.382239157074831	652	4306	0.491431597900148	0.983152215900296	0.130755311639137	0.207643777667931	211	0.0917404230598373	11096	14824000	76
HT9310_3L	20220619 143430	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0630648153356794	0.887187642685388	181	4282	0.750549892083178	0.96445025007973	0.12055288664523	0.763209959636986	283	0.0890800761927797	11310	14370000	77
HT9310_3L	20220619 143509	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0783756487638013	0.60631989203546	806	4360	0.619160679211636	0.842645765364836	0.12597375408855	0.768578311815338	152	0.100029319098023	11112	14568000	78
HT9310_3L	20220619 143554	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0826640046966074	0.749352802960754	306	4250	0.169241981911389	0.936213613744388	0.131596438992542	0.785434860501106	222	0.1037198202977	9604	14516000	79
HT9310_3L	20220619 143649	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0700646980388341	0.740211447162431	793	4116	0.909262114969768	0.976524360149752	0.134477322164077	0.837750015023775	308	0.10030398907532	10194	14766000	80
HT9310_3L	20220619 143745	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0559709230585902	0.826438547194453	657	4367	0.557052130534744	0.831829604090174	0.338928661333743	0.855693797539302	273	0.108884093340541	9746	14734000	81
HT9310_3L	20220619 143824	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.104839341712687	0.958424686680464	296	4166	0.51041171001637	0.667647358075381	0.231100343197319	0.704917274963924	124	0.106112917165189	9954	14526000	82
HT9310_3L	20220619 143921	1	1	-1	31	200227	FALSE	0.1	50	0.5	custom	TRUE	binary	TRUE	TRUE	FALSE	gbdt	0	-100	-100	0.0520621422521798	0.769660148883868	813	4388	0.793081302569615	0.951663194436568	0.0335078872137253	0.575048708901438	348	0.105751447233791	9802	14798000	83
