fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220601 203502	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	517	TRUE	200213	0.0103590810129036	0.47773831424343	7892	559	0.0185041703201525	12904000	34
20220601 203638	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	530	TRUE	200213	0.0103273949996907	0.488757968577257	6783	16	0.0175093907880538	13169000	35
20220601 203652	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	43	TRUE	200213	0.123555111887879	0.49465056132969	7726	16	0.0166528243490953	13308000	36
20220601 203701	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	16	TRUE	200213	0.298298730535208	0.584552808106656	7997	16	0.0162718616355234	12574000	37
20220601 203721	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	83	TRUE	200213	0.0728112332927957	0.539261312007438	7784	16	0.00833657193055306	11296000	38
20220601 203734	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	64	TRUE	200213	0.122076244541995	0.210109566280503	7996	16	0.0196263659085573	12691000	39
20220601 203938	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	586	TRUE	200213	0.010019884209508	0.442810532697721	1904	900	0.0144812256526564	13177000	40
20220601 203951	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	53	TRUE	200213	0.0818901293826203	0.640466363946906	7523	140	0.0177112280840962	13289000	41
20220601 204133	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	582	TRUE	200213	0.0107151167232216	0.541651033862038	3658	19	0.0164886738766862	13309000	42
20220601 204314	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	590	TRUE	200213	0.0102501463380929	0.603628915949707	3620	667	0.016850611512109	13508000	43
20220601 204500	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	568	TRUE	200213	0.0100883264417531	0.596679579975399	3915	1019	0.0166507537218925	13164000	44
20220601 204639	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	458	TRUE	200213	0.0101142198310306	0.55978848937474	3095	590	0.0166273736395263	13461000	45
20220601 204743	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	392	TRUE	200213	0.0102847591068465	0.762654614683041	3577	566	0.0165359195725244	13532000	46
20220601 204751	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	23	TRUE	200213	0.156296851549092	0.732792877739701	7993	692	0.0169520028422287	12562000	47
20220601 204839	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	251	TRUE	200213	0.0166487349406241	0.615096058215411	3688	536	0.0166246816637298	13349000	48
20220601 204955	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	532	TRUE	200213	0.0100769198724931	0.780730741494487	3413	728	0.0165739814437438	13374000	49
20220601 205255	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	166	TRUE	200213	0.0100746385596892	0.650522203741734	121	643	0.0158118946466791	10884000	50
20220601 205414	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	630	TRUE	200213	0.0102492219887927	0.800484163256726	3597	624	0.0187323411357308	13209000	51
20220601 205526	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	533	TRUE	200213	0.0100167840913281	0.858953725057442	3434	20	0.0159047290492081	13389000	52
20220601 205656	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	515	TRUE	200213	0.0100329112552815	0.575757014366234	7003	958	0.0164712219644233	12789000	53
20220601 205820	binary	custom	TRUE	TRUE	FALSE	-100	200213	-1	0	0	0	31	442	TRUE	200213	0.0100853150532865	0.714898011160921	1954	605	0.0111926502753086	12914000	54
